90.2,10.0
16.6,28.0
27.3,38.4
119.0,62.3
10.3,45.5
14.5,18.9
18.1,20.8
4.8,19.8
4.3,51.3
39.2,54.3
13.8,35.0
8.6,69.5
49.4,16.0
14.2,39.5
5.5,51.4
4.5,76.4
18.8,58.2
111.0,23.8
42.7,42.5
46.6,41.2
6.9,29.7
52.5,43.6
19.8,10.7
10.5,67.4
10.8,50.2
116.0,19.2
93.6,8.92
44.4,54.1
108.0,22.2
5.6,29.1
26.5,32.7
149.0,11.8
150.0,36.8
8.7,37.7
15.7,26.3
18.6,15.9
88.2,16.5
116.0,41.1
63.9,85.1
10.2,33.2
111.0,50.6
5.5,37.6
3.6,50.2
3.4,66.0
4.1,50.5
34.4,22.7
25.1,27.9
29.1,21.3
19.2,26.9
111.0,85.8
55.2,4.79
4.5,75.1
24.1,57.8
3.0,38.7
4.2,26.8
63.7,57.7
80.3,23.8
16.5,35.0
4.2,42.3
74.7,29.5
3.9,22.1
14.6,23.8
35.4,25.8
109.0,30.3
114.0,14.9
37.6,51.4
208.0,15.3
6.0,81.8
2.6,53.4
58.8,22.6
33.3,24.3
19.3,24.4
36.9,39.4
4.2,103.0
4.6,35.0
4.0,25.2
18.1,31.3
3.2,15.0
21.1,48.3
21.5,44.2
62.2,20.7
62.7,13.3
10.8,66.7
29.6,51.6
78.9,35.4
7.8,53.7
10.3,35.8
99.7,39.4
89.3,19.1
16.6,65.6
6.1,65.3
2.8,175.0
10.4,39.8
62.2,25.0
90.5,22.8
7.9,86.9
13.2,77.6
137.0,22.8
6.8,153.0
97.4,50.7
15.0,51.2
40.0,23.5
17.2,39.2
26.1,46.7
6.8,37.0
33.5,32.2
101.0,31.5
64.4,0.109
56.0,47.8
47.0,9.58
4.5,72.0
6.2,30.3
123.0,22.2
130.0,25.3
3.2,39.7
11.7,65.7
92.1,13.5
19.7,70.0
24.1,55.1
20.3,27.8
31.9,34.8
6.0,40.1
3.9,29.9
9.0,62.3
11.5,32.6
10.0,29.2
63.6,12.0
18.9,29.2
15.7,49.6
66.8,24.9
7.6,32.9
14.4,93.8
160.0,16.8
2.8,200.0
7.0,76.3
3.2,64.3
28.1,49.3
53.7,28.6
4.1,49.4
3.8,25.5
11.2,19.6
20.7,26.9
76.7,19.7
24.1,52.5
3.0,46.2
4.5,64.0
52.4,14.9
71.9,18.7
14.9,66.5
62.6,2.2
90.3,40.2
17.4,12.4
17.4,50.5
19.1,20.4
62.0,76.3
81.0,17.1
11.7,47.1
8.6,77.7
5.2,28.2
7.3,12.4
10.6,26.3
36.3,31.7
29.2,46.6
17.1,28.5
23.3,72.0
56.3,30.0
83.1,37.0
